,name,time_elapsed,total_iteration,a_star_executions,total_cost,path_length,heuristic,map,diagonal_movement,num_security_guards,smart_path_finding
0,07062022_Testmap_weighted_50_diagonal_None_0,0.37,81,1,586,82,None,Testmap_weighted_50,True,0,True
1,07062022_Testmap_weighted_50_diagonal_None_1,0.35,81,1,586,82,None,Testmap_weighted_50,True,0,True
2,07062022_Testmap_weighted_50_diagonal_None_2,0.34,81,1,586,82,None,Testmap_weighted_50,True,0,True
3,07062022_Testmap_weighted_50_diagonal_None_3,0.35,81,1,586,82,None,Testmap_weighted_50,True,0,True
4,07062022_Testmap_weighted_50_diagonal_None_4,0.36,81,1,586,82,None,Testmap_weighted_50,True,0,True
5,07062022_Testmap_weighted_50_diagonal_None_5,0.34,81,1,586,82,None,Testmap_weighted_50,True,0,True
6,07062022_Testmap_weighted_50_diagonal_None_6,0.34,81,1,586,82,None,Testmap_weighted_50,True,0,True
7,07062022_Testmap_weighted_50_diagonal_None_7,0.34,81,1,586,82,None,Testmap_weighted_50,True,0,True
8,07062022_Testmap_weighted_50_diagonal_None_8,0.34,81,1,586,82,None,Testmap_weighted_50,True,0,True
9,07062022_Testmap_weighted_50_diagonal_None_9,0.33,81,1,586,82,None,Testmap_weighted_50,True,0,True
10,07062022_Testmap_weighted_50_diagonal_Manhattan_0,0.33,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
11,07062022_Testmap_weighted_50_diagonal_Manhattan_1,0.35,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
12,07062022_Testmap_weighted_50_diagonal_Manhattan_2,0.38,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
13,07062022_Testmap_weighted_50_diagonal_Manhattan_3,0.36,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
14,07062022_Testmap_weighted_50_diagonal_Manhattan_4,0.36,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
15,07062022_Testmap_weighted_50_diagonal_Manhattan_5,0.34,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
16,07062022_Testmap_weighted_50_diagonal_Manhattan_6,0.33,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
17,07062022_Testmap_weighted_50_diagonal_Manhattan_7,0.34,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
18,07062022_Testmap_weighted_50_diagonal_Manhattan_8,0.35,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
19,07062022_Testmap_weighted_50_diagonal_Manhattan_9,0.33,81,1,586,82,Manhattan,Testmap_weighted_50,True,0,True
20,07062022_Testmap_weighted_50_diagonal_Euclidean_0,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
21,07062022_Testmap_weighted_50_diagonal_Euclidean_1,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
22,07062022_Testmap_weighted_50_diagonal_Euclidean_2,0.33,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
23,07062022_Testmap_weighted_50_diagonal_Euclidean_3,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
24,07062022_Testmap_weighted_50_diagonal_Euclidean_4,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
25,07062022_Testmap_weighted_50_diagonal_Euclidean_5,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
26,07062022_Testmap_weighted_50_diagonal_Euclidean_6,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
27,07062022_Testmap_weighted_50_diagonal_Euclidean_7,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
28,07062022_Testmap_weighted_50_diagonal_Euclidean_8,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
29,07062022_Testmap_weighted_50_diagonal_Euclidean_9,0.32,81,1,586,82,Euclidean,Testmap_weighted_50,True,0,True
30,07062022_Testmap_weighted_50_diagonal_Chebyshev_0,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
31,07062022_Testmap_weighted_50_diagonal_Chebyshev_1,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
32,07062022_Testmap_weighted_50_diagonal_Chebyshev_2,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
33,07062022_Testmap_weighted_50_diagonal_Chebyshev_3,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
34,07062022_Testmap_weighted_50_diagonal_Chebyshev_4,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
35,07062022_Testmap_weighted_50_diagonal_Chebyshev_5,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
36,07062022_Testmap_weighted_50_diagonal_Chebyshev_6,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
37,07062022_Testmap_weighted_50_diagonal_Chebyshev_7,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
38,07062022_Testmap_weighted_50_diagonal_Chebyshev_8,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
39,07062022_Testmap_weighted_50_diagonal_Chebyshev_9,0.32,81,1,586,82,Chebyshev,Testmap_weighted_50,True,0,True
40,07062022_Testmap_weighted_50_no_diagonal_None_0,0.42,106,1,788,107,None,Testmap_weighted_50,False,0,True
41,07062022_Testmap_weighted_50_no_diagonal_None_1,0.42,106,1,788,107,None,Testmap_weighted_50,False,0,True
42,07062022_Testmap_weighted_50_no_diagonal_None_2,0.43,106,1,788,107,None,Testmap_weighted_50,False,0,True
43,07062022_Testmap_weighted_50_no_diagonal_None_3,0.43,106,1,788,107,None,Testmap_weighted_50,False,0,True
44,07062022_Testmap_weighted_50_no_diagonal_None_4,0.42,106,1,788,107,None,Testmap_weighted_50,False,0,True
45,07062022_Testmap_weighted_50_no_diagonal_None_5,0.43,106,1,788,107,None,Testmap_weighted_50,False,0,True
46,07062022_Testmap_weighted_50_no_diagonal_None_6,0.42,106,1,788,107,None,Testmap_weighted_50,False,0,True
47,07062022_Testmap_weighted_50_no_diagonal_None_7,0.43,106,1,788,107,None,Testmap_weighted_50,False,0,True
48,07062022_Testmap_weighted_50_no_diagonal_None_8,0.43,106,1,788,107,None,Testmap_weighted_50,False,0,True
49,07062022_Testmap_weighted_50_no_diagonal_None_9,0.42,106,1,788,107,None,Testmap_weighted_50,False,0,True
50,07062022_Testmap_weighted_50_no_diagonal_Manhattan_0,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
51,07062022_Testmap_weighted_50_no_diagonal_Manhattan_1,0.43,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
52,07062022_Testmap_weighted_50_no_diagonal_Manhattan_2,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
53,07062022_Testmap_weighted_50_no_diagonal_Manhattan_3,0.43,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
54,07062022_Testmap_weighted_50_no_diagonal_Manhattan_4,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
55,07062022_Testmap_weighted_50_no_diagonal_Manhattan_5,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
56,07062022_Testmap_weighted_50_no_diagonal_Manhattan_6,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
57,07062022_Testmap_weighted_50_no_diagonal_Manhattan_7,0.43,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
58,07062022_Testmap_weighted_50_no_diagonal_Manhattan_8,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
59,07062022_Testmap_weighted_50_no_diagonal_Manhattan_9,0.42,106,1,788,107,Manhattan,Testmap_weighted_50,False,0,True
60,07062022_Testmap_weighted_50_no_diagonal_Euclidean_0,0.43,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
61,07062022_Testmap_weighted_50_no_diagonal_Euclidean_1,0.42,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
62,07062022_Testmap_weighted_50_no_diagonal_Euclidean_2,0.42,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
63,07062022_Testmap_weighted_50_no_diagonal_Euclidean_3,0.43,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
64,07062022_Testmap_weighted_50_no_diagonal_Euclidean_4,0.43,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
65,07062022_Testmap_weighted_50_no_diagonal_Euclidean_5,0.43,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
66,07062022_Testmap_weighted_50_no_diagonal_Euclidean_6,0.47,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
67,07062022_Testmap_weighted_50_no_diagonal_Euclidean_7,0.48,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
68,07062022_Testmap_weighted_50_no_diagonal_Euclidean_8,0.45,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
69,07062022_Testmap_weighted_50_no_diagonal_Euclidean_9,0.46,106,1,792,107,Euclidean,Testmap_weighted_50,False,0,True
70,07062022_Testmap_weighted_50_no_diagonal_Chebyshev_0,0.44,106,1,788,107,Chebyshev,Testmap_weighted_50,False,0,True
71,07062022_Testmap_weighted_50_no_diagonal_Chebyshev_1,0.43,106,1,788,107,Chebyshev,Testmap_weighted_50,False,0,True
72,07062022_Testmap_weighted_50_no_diagonal_Chebyshev_2,0.44,106,1,788,107,Chebyshev,Testmap_weighted_50,False,0,True
73,07062022_Testmap_weighted_50_no_diagonal_Chebyshev_3,0.44,106,1,788,107,Chebyshev,Testmap_weighted_50,False,0,True
74,07062022_Testmap_weighted_50_no_diagonal_Chebyshev_4,0.44,106,1,788,107,Chebyshev,Testmap_weighted_50,False,0,True
