,name,time_elapsed,total_iteration,a_star_executions,total_cost,path_length,heuristic,map
0,05062022_Testmap_weighted_50_None_0,0.33,78,16,642,79,None,Testmap_weighted_50
1,05062022_Testmap_weighted_50_None_1,0.36,85,12,618,86,None,Testmap_weighted_50
2,05062022_Testmap_weighted_50_None_2,0.35,67,15,6598,68,None,Testmap_weighted_50
3,05062022_Testmap_weighted_50_None_3,0.32,73,13,595,74,None,Testmap_weighted_50
4,05062022_Testmap_weighted_50_None_4,0.49,112,15,933,113,None,Testmap_weighted_50
5,05062022_Testmap_weighted_50_None_5,0.31,71,17,629,72,None,Testmap_weighted_50
6,05062022_Testmap_weighted_50_None_6,0.33,73,9,595,74,None,Testmap_weighted_50
7,05062022_Testmap_weighted_50_None_7,0.33,69,11,3590,70,None,Testmap_weighted_50
8,05062022_Testmap_weighted_50_None_8,0.35,78,11,622,79,None,Testmap_weighted_50
9,05062022_Testmap_weighted_50_None_9,0.3,73,6,623,74,None,Testmap_weighted_50
10,05062022_Testmap_weighted_50_None_10,0.33,71,12,621,72,None,Testmap_weighted_50
11,05062022_Testmap_weighted_50_None_11,0.44,76,28,3687,77,None,Testmap_weighted_50
12,05062022_Testmap_weighted_50_None_12,0.35,83,8,665,84,None,Testmap_weighted_50
13,05062022_Testmap_weighted_50_None_13,0.44,95,18,3722,96,None,Testmap_weighted_50
14,05062022_Testmap_weighted_50_None_14,0.33,75,6,3707,76,None,Testmap_weighted_50
15,05062022_Testmap_weighted_50_None_15,0.32,69,12,9715,70,None,Testmap_weighted_50
16,05062022_Testmap_weighted_50_None_16,0.35,81,6,586,82,None,Testmap_weighted_50
17,05062022_Testmap_weighted_50_None_17,0.42,88,17,6698,89,None,Testmap_weighted_50
18,05062022_Testmap_weighted_50_None_18,0.37,83,9,600,84,None,Testmap_weighted_50
19,05062022_Testmap_weighted_50_None_19,0.38,86,8,613,87,None,Testmap_weighted_50
20,05062022_Testmap_weighted_50_None_20,0.38,75,18,670,76,None,Testmap_weighted_50
21,05062022_Testmap_weighted_50_None_21,0.35,86,2,613,87,None,Testmap_weighted_50
22,05062022_Testmap_weighted_50_None_22,0.38,78,27,3593,79,None,Testmap_weighted_50
23,05062022_Testmap_weighted_50_None_23,0.36,87,11,738,88,None,Testmap_weighted_50
24,05062022_Testmap_weighted_50_None_24,0.45,90,30,800,91,None,Testmap_weighted_50
25,05062022_Testmap_weighted_50_None_25,0.6,120,42,3942,121,None,Testmap_weighted_50
26,05062022_Testmap_weighted_50_None_26,0.37,84,8,3602,85,None,Testmap_weighted_50
27,05062022_Testmap_weighted_50_None_27,0.41,91,21,762,92,None,Testmap_weighted_50
28,05062022_Testmap_weighted_50_None_28,0.36,70,21,6842,71,None,Testmap_weighted_50
29,05062022_Testmap_weighted_50_None_29,0.32,72,11,3540,73,None,Testmap_weighted_50
30,05062022_Testmap_weighted_50_Manhattan_0,0.42,86,34,814,87,Manhattan,Testmap_weighted_50
31,05062022_Testmap_weighted_50_Manhattan_1,0.42,97,12,718,98,Manhattan,Testmap_weighted_50
32,05062022_Testmap_weighted_50_Manhattan_2,0.39,79,24,760,80,Manhattan,Testmap_weighted_50
33,05062022_Testmap_weighted_50_Manhattan_3,0.38,89,10,679,90,Manhattan,Testmap_weighted_50
34,05062022_Testmap_weighted_50_Manhattan_4,0.37,88,22,921,89,Manhattan,Testmap_weighted_50
35,05062022_Testmap_weighted_50_Manhattan_5,0.39,91,6,812,92,Manhattan,Testmap_weighted_50
36,05062022_Testmap_weighted_50_Manhattan_6,0.38,81,18,588,82,Manhattan,Testmap_weighted_50
37,05062022_Testmap_weighted_50_Manhattan_7,0.39,83,15,839,84,Manhattan,Testmap_weighted_50
38,05062022_Testmap_weighted_50_Manhattan_8,0.31,75,15,722,76,Manhattan,Testmap_weighted_50
39,05062022_Testmap_weighted_50_Manhattan_9,0.44,84,32,886,85,Manhattan,Testmap_weighted_50
40,05062022_Testmap_weighted_50_Manhattan_10,0.36,81,19,672,82,Manhattan,Testmap_weighted_50
41,05062022_Testmap_weighted_50_Manhattan_11,0.36,75,12,3612,76,Manhattan,Testmap_weighted_50
42,05062022_Testmap_weighted_50_Manhattan_12,0.38,86,15,613,87,Manhattan,Testmap_weighted_50
43,05062022_Testmap_weighted_50_Manhattan_13,0.43,100,18,874,101,Manhattan,Testmap_weighted_50
44,05062022_Testmap_weighted_50_Manhattan_14,0.35,81,5,586,82,Manhattan,Testmap_weighted_50
45,05062022_Testmap_weighted_50_Manhattan_15,0.43,79,33,9851,80,Manhattan,Testmap_weighted_50
46,05062022_Testmap_weighted_50_Manhattan_16,0.33,67,26,3581,68,Manhattan,Testmap_weighted_50
47,05062022_Testmap_weighted_50_Manhattan_17,0.38,81,16,6836,82,Manhattan,Testmap_weighted_50
48,05062022_Testmap_weighted_50_Manhattan_18,0.41,90,14,799,91,Manhattan,Testmap_weighted_50
49,05062022_Testmap_weighted_50_Manhattan_19,0.35,81,7,588,82,Manhattan,Testmap_weighted_50
50,05062022_Testmap_weighted_50_Manhattan_20,0.4,94,17,713,95,Manhattan,Testmap_weighted_50
51,05062022_Testmap_weighted_50_Manhattan_21,0.39,84,27,675,85,Manhattan,Testmap_weighted_50
52,05062022_Testmap_weighted_50_Manhattan_22,0.53,99,43,775,100,Manhattan,Testmap_weighted_50
53,05062022_Testmap_weighted_50_Manhattan_23,0.37,81,18,674,82,Manhattan,Testmap_weighted_50
54,05062022_Testmap_weighted_50_Manhattan_24,0.34,78,17,709,79,Manhattan,Testmap_weighted_50
55,05062022_Testmap_weighted_50_Manhattan_25,0.33,81,2,672,82,Manhattan,Testmap_weighted_50
56,05062022_Testmap_weighted_50_Manhattan_26,0.36,86,13,699,87,Manhattan,Testmap_weighted_50
57,05062022_Testmap_weighted_50_Manhattan_27,0.44,95,18,6812,96,Manhattan,Testmap_weighted_50
58,05062022_Testmap_weighted_50_Manhattan_28,0.39,84,20,721,85,Manhattan,Testmap_weighted_50
59,05062022_Testmap_weighted_50_Manhattan_29,0.34,81,3,586,82,Manhattan,Testmap_weighted_50
60,05062022_Testmap_weighted_50_Euclidean_0,0.33,78,13,636,79,Euclidean,Testmap_weighted_50
61,05062022_Testmap_weighted_50_Euclidean_1,0.31,73,4,595,74,Euclidean,Testmap_weighted_50
62,05062022_Testmap_weighted_50_Euclidean_2,0.34,80,13,654,81,Euclidean,Testmap_weighted_50
63,05062022_Testmap_weighted_50_Euclidean_3,0.37,87,8,620,88,Euclidean,Testmap_weighted_50
64,05062022_Testmap_weighted_50_Euclidean_4,0.37,84,18,601,85,Euclidean,Testmap_weighted_50
65,05062022_Testmap_weighted_50_Euclidean_5,0.34,81,2,586,82,Euclidean,Testmap_weighted_50
66,05062022_Testmap_weighted_50_Euclidean_6,0.4,83,22,6723,84,Euclidean,Testmap_weighted_50
67,05062022_Testmap_weighted_50_Euclidean_7,0.35,86,1,613,87,Euclidean,Testmap_weighted_50
68,05062022_Testmap_weighted_50_Euclidean_8,0.34,74,8,3568,75,Euclidean,Testmap_weighted_50
69,05062022_Testmap_weighted_50_Euclidean_9,0.38,73,23,603,74,Euclidean,Testmap_weighted_50
70,05062022_Testmap_weighted_50_Euclidean_10,0.33,76,11,3625,77,Euclidean,Testmap_weighted_50
71,05062022_Testmap_weighted_50_Euclidean_11,0.51,79,34,659,80,Euclidean,Testmap_weighted_50
72,05062022_Testmap_weighted_50_Euclidean_12,0.48,105,22,797,106,Euclidean,Testmap_weighted_50
73,05062022_Testmap_weighted_50_Euclidean_13,0.4,75,17,12792,76,Euclidean,Testmap_weighted_50
74,05062022_Testmap_weighted_50_Euclidean_14,0.34,80,18,690,81,Euclidean,Testmap_weighted_50
75,05062022_Testmap_weighted_50_Euclidean_15,0.38,83,9,3623,84,Euclidean,Testmap_weighted_50
76,05062022_Testmap_weighted_50_Euclidean_16,0.33,78,4,622,79,Euclidean,Testmap_weighted_50
77,05062022_Testmap_weighted_50_Euclidean_17,0.32,73,6,603,74,Euclidean,Testmap_weighted_50
78,05062022_Testmap_weighted_50_Euclidean_18,0.47,87,37,3716,88,Euclidean,Testmap_weighted_50
79,05062022_Testmap_weighted_50_Euclidean_19,0.45,99,19,795,100,Euclidean,Testmap_weighted_50
80,05062022_Testmap_weighted_50_Euclidean_20,0.48,83,42,677,84,Euclidean,Testmap_weighted_50
81,05062022_Testmap_weighted_50_Euclidean_21,0.36,85,12,666,86,Euclidean,Testmap_weighted_50
82,05062022_Testmap_weighted_50_Euclidean_22,0.38,76,16,3865,77,Euclidean,Testmap_weighted_50
83,05062022_Testmap_weighted_50_Euclidean_23,0.42,92,21,804,93,Euclidean,Testmap_weighted_50
84,05062022_Testmap_weighted_50_Euclidean_24,0.33,73,15,9743,74,Euclidean,Testmap_weighted_50
85,05062022_Testmap_weighted_50_Euclidean_25,0.43,92,26,799,93,Euclidean,Testmap_weighted_50
86,05062022_Testmap_weighted_50_Euclidean_26,0.41,82,16,6737,83,Euclidean,Testmap_weighted_50
87,05062022_Testmap_weighted_50_Euclidean_27,0.37,73,21,595,74,Euclidean,Testmap_weighted_50
88,05062022_Testmap_weighted_50_Euclidean_28,0.35,86,12,613,87,Euclidean,Testmap_weighted_50
89,05062022_Testmap_weighted_50_Euclidean_29,0.37,87,14,656,88,Euclidean,Testmap_weighted_50
90,05062022_Testmap_weighted_50_Chebyshev_0,0.33,73,10,595,74,Chebyshev,Testmap_weighted_50
91,05062022_Testmap_weighted_50_Chebyshev_1,0.38,87,18,705,88,Chebyshev,Testmap_weighted_50
92,05062022_Testmap_weighted_50_Chebyshev_2,0.44,87,25,741,88,Chebyshev,Testmap_weighted_50
93,05062022_Testmap_weighted_50_Chebyshev_3,0.39,82,19,595,83,Chebyshev,Testmap_weighted_50
94,05062022_Testmap_weighted_50_Chebyshev_4,0.35,73,13,595,74,Chebyshev,Testmap_weighted_50
95,05062022_Testmap_weighted_50_Chebyshev_5,0.34,68,15,3534,69,Chebyshev,Testmap_weighted_50
96,05062022_Testmap_weighted_50_Chebyshev_6,0.34,83,2,665,84,Chebyshev,Testmap_weighted_50
97,05062022_Testmap_weighted_50_Chebyshev_7,0.39,84,21,595,85,Chebyshev,Testmap_weighted_50
98,05062022_Testmap_weighted_50_Chebyshev_8,0.34,81,5,586,82,Chebyshev,Testmap_weighted_50
99,05062022_Testmap_weighted_50_Chebyshev_9,0.37,82,18,590,83,Chebyshev,Testmap_weighted_50
100,05062022_Testmap_weighted_50_Chebyshev_10,0.45,95,32,798,96,Chebyshev,Testmap_weighted_50
101,05062022_Testmap_weighted_50_Chebyshev_11,0.36,68,21,3687,69,Chebyshev,Testmap_weighted_50
102,05062022_Testmap_weighted_50_Chebyshev_12,0.3,69,8,669,70,Chebyshev,Testmap_weighted_50
103,05062022_Testmap_weighted_50_Chebyshev_13,0.34,70,12,3597,71,Chebyshev,Testmap_weighted_50
104,05062022_Testmap_weighted_50_Chebyshev_14,0.3,73,5,595,74,Chebyshev,Testmap_weighted_50
105,05062022_Testmap_weighted_50_Chebyshev_15,0.33,75,7,3781,76,Chebyshev,Testmap_weighted_50
106,05062022_Testmap_weighted_50_Chebyshev_16,0.7,129,60,4082,130,Chebyshev,Testmap_weighted_50
107,05062022_Testmap_weighted_50_Chebyshev_17,0.34,73,17,603,74,Chebyshev,Testmap_weighted_50
108,05062022_Testmap_weighted_50_Chebyshev_18,0.35,82,12,587,83,Chebyshev,Testmap_weighted_50
109,05062022_Testmap_weighted_50_Chebyshev_19,0.4,88,10,6712,89,Chebyshev,Testmap_weighted_50
110,05062022_Testmap_weighted_50_Chebyshev_20,0.47,100,39,827,101,Chebyshev,Testmap_weighted_50
111,05062022_Testmap_weighted_50_Chebyshev_21,0.35,73,19,6770,74,Chebyshev,Testmap_weighted_50
112,05062022_Testmap_weighted_50_Chebyshev_22,0.45,85,36,3685,86,Chebyshev,Testmap_weighted_50
113,05062022_Testmap_weighted_50_Chebyshev_23,0.37,80,14,751,81,Chebyshev,Testmap_weighted_50
114,05062022_Testmap_weighted_50_Chebyshev_24,0.3,70,6,618,71,Chebyshev,Testmap_weighted_50
115,05062022_Testmap_weighted_50_Chebyshev_25,0.37,73,22,603,74,Chebyshev,Testmap_weighted_50
116,05062022_Testmap_weighted_50_Chebyshev_26,0.38,86,22,667,87,Chebyshev,Testmap_weighted_50
117,05062022_Testmap_weighted_50_Chebyshev_27,0.34,77,21,635,78,Chebyshev,Testmap_weighted_50
118,05062022_Testmap_weighted_50_Chebyshev_28,0.37,73,30,659,74,Chebyshev,Testmap_weighted_50
119,05062022_Testmap_weighted_50_Chebyshev_29,0.37,88,9,641,89,Chebyshev,Testmap_weighted_50
120,05062022_Testmap_weighted_100_None_0,1.62,207,4,1628,208,None,Testmap_weighted_100
121,05062022_Testmap_weighted_100_None_1,0.15,23,4,3112,24,None,Testmap_weighted_100
122,05062022_Testmap_weighted_100_None_2,2.24,203,16,1705,204,None,Testmap_weighted_100
123,05062022_Testmap_weighted_100_None_3,0.15,23,1,3100,24,None,Testmap_weighted_100
124,05062022_Testmap_weighted_100_None_4,1.6,208,3,1637,209,None,Testmap_weighted_100
125,05062022_Testmap_weighted_100_None_5,1.87,209,22,1786,210,None,Testmap_weighted_100
126,05062022_Testmap_weighted_100_None_6,2.2,213,16,1682,214,None,Testmap_weighted_100
127,05062022_Testmap_weighted_100_None_7,0.15,23,8,3120,24,None,Testmap_weighted_100
128,05062022_Testmap_weighted_100_None_8,2.51,224,22,1867,225,None,Testmap_weighted_100
129,05062022_Testmap_weighted_100_None_9,1.99,210,12,1702,211,None,Testmap_weighted_100
130,05062022_Testmap_weighted_100_None_10,1.8,215,4,1678,216,None,Testmap_weighted_100
131,05062022_Testmap_weighted_100_None_11,2.06,211,19,1706,212,None,Testmap_weighted_100
132,05062022_Testmap_weighted_100_None_12,2.3,216,20,1980,217,None,Testmap_weighted_100
133,05062022_Testmap_weighted_100_None_13,1.6,207,1,1628,208,None,Testmap_weighted_100
134,05062022_Testmap_weighted_100_None_14,2.44,203,21,1843,204,None,Testmap_weighted_100
