,name,time_elapsed,total_iteration,a_star_executions,total_cost,path_length,heuristic,map
0,05062022_Testmap_weighted_50_None_0,0.5,80,80,3604,81,None,Testmap_weighted_50
1,05062022_Testmap_weighted_50_None_1,0.74,112,112,937,113,None,Testmap_weighted_50
2,05062022_Testmap_weighted_50_None_2,0.48,76,76,662,77,None,Testmap_weighted_50
3,05062022_Testmap_weighted_50_Manhattan_0,0.44,81,81,588,82,Manhattan,Testmap_weighted_50
4,05062022_Testmap_weighted_50_Manhattan_1,0.48,86,86,613,87,Manhattan,Testmap_weighted_50
5,05062022_Testmap_weighted_50_Manhattan_2,0.4,69,69,3541,70,Manhattan,Testmap_weighted_50
6,05062022_Testmap_weighted_50_Euclidean_0,0.62,66,66,3601,67,Euclidean,Testmap_weighted_50
7,05062022_Testmap_weighted_50_Euclidean_1,0.53,90,90,814,91,Euclidean,Testmap_weighted_50
8,05062022_Testmap_weighted_50_Euclidean_2,0.86,133,133,1325,134,Euclidean,Testmap_weighted_50
9,05062022_Testmap_weighted_50_Chebyshev_0,0.44,75,75,3543,76,Chebyshev,Testmap_weighted_50
10,05062022_Testmap_weighted_50_Chebyshev_1,0.42,74,74,3578,75,Chebyshev,Testmap_weighted_50
11,05062022_Testmap_weighted_50_Chebyshev_2,0.53,89,89,3701,90,Chebyshev,Testmap_weighted_50
12,05062022_Testmap_weighted_100_None_0,8.04,207,207,1708,208,None,Testmap_weighted_100
13,05062022_Testmap_weighted_100_None_1,8.23,210,210,1679,211,None,Testmap_weighted_100
14,05062022_Testmap_weighted_100_None_2,0.16,26,26,3131,27,None,Testmap_weighted_100
15,05062022_Testmap_weighted_100_Manhattan_0,7.07,198,198,1658,199,Manhattan,Testmap_weighted_100
16,06062022_Testmap_weighted_100_Manhattan_1,7.15,201,201,1679,202,Manhattan,Testmap_weighted_100
17,06062022_Testmap_weighted_100_Manhattan_2,0.14,23,23,3100,24,Manhattan,Testmap_weighted_100
18,06062022_Testmap_weighted_100_Euclidean_0,8.77,214,214,1755,215,Euclidean,Testmap_weighted_100
19,06062022_Testmap_weighted_100_Euclidean_1,7.82,207,207,1760,208,Euclidean,Testmap_weighted_100
20,06062022_Testmap_weighted_100_Euclidean_2,8.17,216,216,1709,217,Euclidean,Testmap_weighted_100
21,06062022_Testmap_weighted_100_Chebyshev_0,8.26,207,207,1650,208,Chebyshev,Testmap_weighted_100
22,06062022_Testmap_weighted_100_Chebyshev_1,7.5,208,208,1637,209,Chebyshev,Testmap_weighted_100
23,06062022_Testmap_weighted_100_Chebyshev_2,7.89,207,207,1696,208,Chebyshev,Testmap_weighted_100
24,06062022_Testmap_weighted_25_None_0,0.14,58,58,10173,59,None,Testmap_weighted_25
25,06062022_Testmap_weighted_25_None_1,0.08,34,34,6326,35,None,Testmap_weighted_25
26,06062022_Testmap_weighted_25_None_2,0.15,37,37,15363,38,None,Testmap_weighted_25
27,06062022_Testmap_weighted_25_Manhattan_0,0.11,38,38,18230,39,Manhattan,Testmap_weighted_25
28,06062022_Testmap_weighted_25_Manhattan_1,0.12,47,47,9308,48,Manhattan,Testmap_weighted_25
29,06062022_Testmap_weighted_25_Manhattan_2,0.11,40,40,6435,41,Manhattan,Testmap_weighted_25
30,06062022_Testmap_weighted_25_Euclidean_0,0.1,38,38,6314,39,Euclidean,Testmap_weighted_25
31,06062022_Testmap_weighted_25_Euclidean_1,0.19,67,67,15637,68,Euclidean,Testmap_weighted_25
32,06062022_Testmap_weighted_25_Euclidean_2,0.12,47,47,6433,48,Euclidean,Testmap_weighted_25
33,06062022_Testmap_weighted_25_Chebyshev_0,0.17,58,58,6412,59,Chebyshev,Testmap_weighted_25
34,06062022_Testmap_weighted_25_Chebyshev_1,0.1,39,39,3316,40,Chebyshev,Testmap_weighted_25
35,06062022_Testmap_weighted_25_Chebyshev_2,0.11,41,41,9396,42,Chebyshev,Testmap_weighted_25
