,name,time_elapsed,total_iteration,a_star_executions,total_cost,path_length,heuristic,map
0,05062022_Testmap_weighted_50_None_0,0.34,83,13,630,84,None,Testmap_weighted_50
1,05062022_Testmap_weighted_50_None_1,0.4,92,18,719,93,None,Testmap_weighted_50
2,05062022_Testmap_weighted_50_None_2,0.33,82,12,667,83,None,Testmap_weighted_50
3,05062022_Testmap_weighted_50_Manhattan_0,0.29,73,1,595,74,Manhattan,Testmap_weighted_50
4,05062022_Testmap_weighted_50_Manhattan_1,0.52,102,39,3840,103,Manhattan,Testmap_weighted_50
5,05062022_Testmap_weighted_50_Manhattan_2,0.34,73,15,3603,74,Manhattan,Testmap_weighted_50
6,05062022_Testmap_weighted_50_Euclidean_0,0.34,81,7,586,82,Euclidean,Testmap_weighted_50
7,05062022_Testmap_weighted_50_Euclidean_1,0.43,101,22,952,102,Euclidean,Testmap_weighted_50
8,05062022_Testmap_weighted_50_Euclidean_2,0.36,88,18,685,89,Euclidean,Testmap_weighted_50
9,05062022_Testmap_weighted_50_Chebyshev_0,0.38,90,11,670,91,Chebyshev,Testmap_weighted_50
10,05062022_Testmap_weighted_50_Chebyshev_1,0.39,83,16,6895,84,Chebyshev,Testmap_weighted_50
11,05062022_Testmap_weighted_50_Chebyshev_2,0.36,83,9,3613,84,Chebyshev,Testmap_weighted_50
12,05062022_Testmap_weighted_100_None_0,1.58,207,4,1628,208,None,Testmap_weighted_100
13,05062022_Testmap_weighted_100_None_1,1.54,207,2,1674,208,None,Testmap_weighted_100
14,05062022_Testmap_weighted_100_None_2,1.82,211,8,1680,212,None,Testmap_weighted_100
15,05062022_Testmap_weighted_100_Manhattan_0,2.07,276,10,2282,277,Manhattan,Testmap_weighted_100
16,05062022_Testmap_weighted_100_Manhattan_1,2.09,208,15,1637,209,Manhattan,Testmap_weighted_100
17,05062022_Testmap_weighted_100_Manhattan_2,0.15,23,1,3100,24,Manhattan,Testmap_weighted_100
18,05062022_Testmap_weighted_100_Euclidean_0,2.09,233,15,1872,234,Euclidean,Testmap_weighted_100
19,05062022_Testmap_weighted_100_Euclidean_1,0.14,23,1,3100,24,Euclidean,Testmap_weighted_100
20,05062022_Testmap_weighted_100_Euclidean_2,0.22,23,1,3100,24,Euclidean,Testmap_weighted_100
21,05062022_Testmap_weighted_100_Chebyshev_0,1.89,210,9,4654,211,Chebyshev,Testmap_weighted_100
22,05062022_Testmap_weighted_100_Chebyshev_1,1.71,207,7,1628,208,Chebyshev,Testmap_weighted_100
23,05062022_Testmap_weighted_100_Chebyshev_2,0.14,23,1,3100,24,Chebyshev,Testmap_weighted_100
24,05062022_Testmap_weighted_25_None_0,0.18,46,34,15239,47,None,Testmap_weighted_25
25,05062022_Testmap_weighted_25_None_1,0.12,47,28,12235,48,None,Testmap_weighted_25
26,05062022_Testmap_weighted_25_None_2,0.23,90,24,3804,91,None,Testmap_weighted_25
27,05062022_Testmap_weighted_25_Manhattan_0,0.12,43,19,6516,44,Manhattan,Testmap_weighted_25
28,05062022_Testmap_weighted_25_Manhattan_1,0.15,60,31,6414,61,Manhattan,Testmap_weighted_25
29,05062022_Testmap_weighted_25_Manhattan_2,0.24,90,49,3781,91,Manhattan,Testmap_weighted_25
30,05062022_Testmap_weighted_25_Euclidean_0,0.09,36,15,6174,37,Euclidean,Testmap_weighted_25
31,05062022_Testmap_weighted_25_Euclidean_1,0.17,63,38,6536,64,Euclidean,Testmap_weighted_25
32,05062022_Testmap_weighted_25_Euclidean_2,0.1,38,25,6260,39,Euclidean,Testmap_weighted_25
33,05062022_Testmap_weighted_25_Chebyshev_0,0.13,51,13,3344,52,Chebyshev,Testmap_weighted_25
34,05062022_Testmap_weighted_25_Chebyshev_1,0.11,44,18,15354,45,Chebyshev,Testmap_weighted_25
35,05062022_Testmap_weighted_25_Chebyshev_2,0.21,83,31,15645,84,Chebyshev,Testmap_weighted_25
